Continuity Violations Report: Traj_6_[1-190]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 190

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 126: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 126
  Segment 127: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 127
  Segment 128: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 128
  Segment 129: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 129
  Segment 130: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 130
  Segment 131: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 131
  Segment 132: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 132
  Segment 133: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 133
  Segment 134: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 134
  Segment 135: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 135
  Segment 136: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 136
  Segment 137: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 137
  Segment 138: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 138
  Segment 139: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 139
  Segment 140: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 140
  Segment 141: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 141
  Segment 142: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 142
  Segment 143: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 143
  Segment 144: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 144
  Segment 145: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 145
  Segment 146: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 146
  Segment 147: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 147
  Segment 148: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 148
  Segment 149: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 149
  Segment 150: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 150
  Segment 151: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 151
  Segment 152: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 152
  Segment 153: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 153
  Segment 154: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 154
  Segment 155: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 155
  Segment 156: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 156
  Segment 157: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 157
  Segment 64: Magnitude=4.7694, Type=large_step, Details=Step norm 273.3° exceeds limit 30.0°
  Segment 119: Magnitude=8.6923, Type=large_step, Details=Step norm 498.0° exceeds limit 30.0°
  Segment 125: Magnitude=7.5250, Type=large_step, Details=Step norm 431.2° exceeds limit 30.0°
  Segment 126: Magnitude=8.5998, Type=large_step, Details=Step norm 492.7° exceeds limit 30.0°
  Segment 127: Magnitude=5.8030, Type=large_step, Details=Step norm 332.5° exceeds limit 30.0°
  Segment 128: Magnitude=7.4362, Type=large_step, Details=Step norm 426.1° exceeds limit 30.0°
  Segment 129: Magnitude=14.5515, Type=large_step, Details=Step norm 833.7° exceeds limit 30.0°
  Segment 130: Magnitude=6.9187, Type=large_step, Details=Step norm 396.4° exceeds limit 30.0°
  Segment 131: Magnitude=8.3157, Type=large_step, Details=Step norm 476.5° exceeds limit 30.0°
  Segment 132: Magnitude=7.3979, Type=large_step, Details=Step norm 423.9° exceeds limit 30.0°
  Segment 133: Magnitude=6.0042, Type=large_step, Details=Step norm 344.0° exceeds limit 30.0°
  Segment 134: Magnitude=8.1218, Type=large_step, Details=Step norm 465.3° exceeds limit 30.0°
  Segment 135: Magnitude=6.9773, Type=large_step, Details=Step norm 399.8° exceeds limit 30.0°
  Segment 136: Magnitude=5.6730, Type=large_step, Details=Step norm 325.0° exceeds limit 30.0°
  Segment 137: Magnitude=6.3555, Type=large_step, Details=Step norm 364.1° exceeds limit 30.0°
  Segment 138: Magnitude=6.3284, Type=large_step, Details=Step norm 362.6° exceeds limit 30.0°
  Segment 139: Magnitude=6.7675, Type=large_step, Details=Step norm 387.8° exceeds limit 30.0°
  Segment 140: Magnitude=4.7546, Type=large_step, Details=Step norm 272.4° exceeds limit 30.0°
  Segment 141: Magnitude=6.1787, Type=large_step, Details=Step norm 354.0° exceeds limit 30.0°
  Segment 142: Magnitude=6.3135, Type=large_step, Details=Step norm 361.7° exceeds limit 30.0°
  Segment 143: Magnitude=6.3125, Type=large_step, Details=Step norm 361.7° exceeds limit 30.0°
  Segment 144: Magnitude=6.3159, Type=large_step, Details=Step norm 361.9° exceeds limit 30.0°
  Segment 145: Magnitude=11.8682, Type=large_step, Details=Step norm 680.0° exceeds limit 30.0°
  Segment 146: Magnitude=12.5311, Type=large_step, Details=Step norm 718.0° exceeds limit 30.0°
  Segment 147: Magnitude=7.1260, Type=large_step, Details=Step norm 408.3° exceeds limit 30.0°
  Segment 148: Magnitude=10.4821, Type=large_step, Details=Step norm 600.6° exceeds limit 30.0°
  Segment 149: Magnitude=7.6777, Type=large_step, Details=Step norm 439.9° exceeds limit 30.0°
  Segment 150: Magnitude=9.8675, Type=large_step, Details=Step norm 565.4° exceeds limit 30.0°
  Segment 151: Magnitude=8.7869, Type=large_step, Details=Step norm 503.5° exceeds limit 30.0°
  Segment 152: Magnitude=8.8560, Type=large_step, Details=Step norm 507.4° exceeds limit 30.0°
  Segment 153: Magnitude=8.8325, Type=large_step, Details=Step norm 506.1° exceeds limit 30.0°
  Segment 154: Magnitude=7.7149, Type=large_step, Details=Step norm 442.0° exceeds limit 30.0°
  Segment 155: Magnitude=5.7264, Type=large_step, Details=Step norm 328.1° exceeds limit 30.0°
  Segment 156: Magnitude=5.6104, Type=large_step, Details=Step norm 321.5° exceeds limit 30.0°
  Segment 157: Magnitude=10.9752, Type=large_step, Details=Step norm 628.8° exceeds limit 30.0°
  Segment 164: Magnitude=7.5464, Type=large_step, Details=Step norm 432.4° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 64: Magnitude=65.4017, Type=velocity_limit, Ratio=7.49x limit
  Segment 64: Magnitude=38.7659, Type=velocity_limit, Ratio=5.35x limit
  Segment 64: Magnitude=65.6921, Type=velocity_limit, Ratio=5.48x limit
  Segment 119: Magnitude=34.6615, Type=velocity_limit, Ratio=11.03x limit
  Segment 119: Magnitude=63.0013, Type=velocity_limit, Ratio=14.61x limit
  Segment 119: Magnitude=93.5840, Type=velocity_limit, Ratio=10.72x limit
  Segment 119: Magnitude=93.4875, Type=velocity_limit, Ratio=12.91x limit
  Segment 119: Magnitude=103.9583, Type=velocity_limit, Ratio=8.67x limit
  Segment 125: Magnitude=34.1868, Type=velocity_limit, Ratio=10.88x limit
  Segment 125: Magnitude=62.1929, Type=velocity_limit, Ratio=14.43x limit
  Segment 125: Magnitude=136.1188, Type=velocity_limit, Ratio=15.60x limit
  Segment 125: Magnitude=39.2295, Type=velocity_limit, Ratio=3.27x limit
  Segment 126: Magnitude=66.0152, Type=velocity_limit, Ratio=14.83x limit
  Segment 126: Magnitude=38.9054, Type=velocity_limit, Ratio=12.38x limit
  Segment 126: Magnitude=39.3902, Type=velocity_limit, Ratio=9.14x limit
  Segment 126: Magnitude=116.7562, Type=velocity_limit, Ratio=13.38x limit
  Segment 126: Magnitude=95.4431, Type=velocity_limit, Ratio=13.18x limit
  Segment 126: Magnitude=50.5188, Type=velocity_limit, Ratio=4.21x limit
  Segment 127: Magnitude=66.1463, Type=velocity_limit, Ratio=14.86x limit
  Segment 127: Magnitude=38.9721, Type=velocity_limit, Ratio=12.41x limit
  Segment 127: Magnitude=39.2974, Type=velocity_limit, Ratio=9.12x limit
  Segment 127: Magnitude=83.9296, Type=velocity_limit, Ratio=9.62x limit
  Segment 127: Magnitude=20.4458, Type=velocity_limit, Ratio=1.71x limit
  Segment 128: Magnitude=65.9611, Type=velocity_limit, Ratio=14.82x limit
  Segment 128: Magnitude=39.1058, Type=velocity_limit, Ratio=12.45x limit
  Segment 128: Magnitude=38.9545, Type=velocity_limit, Ratio=9.04x limit
  Segment 128: Magnitude=92.1560, Type=velocity_limit, Ratio=10.56x limit
  Segment 128: Magnitude=92.3720, Type=velocity_limit, Ratio=7.70x limit
  Segment 129: Magnitude=66.2131, Type=velocity_limit, Ratio=14.88x limit
  Segment 129: Magnitude=39.2315, Type=velocity_limit, Ratio=12.49x limit
  Segment 129: Magnitude=38.9507, Type=velocity_limit, Ratio=9.04x limit
  Segment 129: Magnitude=293.9989, Type=velocity_limit, Ratio=24.52x limit
  Segment 130: Magnitude=106.1497, Type=velocity_limit, Ratio=23.85x limit
  Segment 130: Magnitude=27.1489, Type=velocity_limit, Ratio=3.11x limit
  Segment 130: Magnitude=95.4977, Type=velocity_limit, Ratio=13.18x limit
  Segment 131: Magnitude=132.0865, Type=velocity_limit, Ratio=29.68x limit
  Segment 131: Magnitude=46.2453, Type=velocity_limit, Ratio=14.72x limit
  Segment 131: Magnitude=29.7069, Type=velocity_limit, Ratio=6.89x limit
  Segment 131: Magnitude=39.5316, Type=velocity_limit, Ratio=4.53x limit
  Segment 131: Magnitude=92.3546, Type=velocity_limit, Ratio=7.70x limit
  Segment 132: Magnitude=91.9467, Type=velocity_limit, Ratio=20.66x limit
  Segment 132: Magnitude=8.3570, Type=velocity_limit, Ratio=2.66x limit
  Segment 132: Magnitude=11.3327, Type=velocity_limit, Ratio=2.63x limit
  Segment 132: Magnitude=61.1082, Type=velocity_limit, Ratio=7.00x limit
  Segment 132: Magnitude=95.1718, Type=velocity_limit, Ratio=13.14x limit
  Segment 132: Magnitude=52.5797, Type=velocity_limit, Ratio=4.39x limit
  Segment 133: Magnitude=40.2029, Type=velocity_limit, Ratio=9.03x limit
  Segment 133: Magnitude=68.8721, Type=velocity_limit, Ratio=21.92x limit
  Segment 133: Magnitude=37.6712, Type=velocity_limit, Ratio=8.74x limit
  Segment 133: Magnitude=51.5424, Type=velocity_limit, Ratio=5.91x limit
  Segment 133: Magnitude=8.7426, Type=velocity_limit, Ratio=1.21x limit
  Segment 133: Magnitude=73.7301, Type=velocity_limit, Ratio=6.15x limit
  Segment 134: Magnitude=40.2585, Type=velocity_limit, Ratio=9.05x limit
  Segment 134: Magnitude=68.8091, Type=velocity_limit, Ratio=21.90x limit
  Segment 134: Magnitude=37.7138, Type=velocity_limit, Ratio=8.75x limit
  Segment 134: Magnitude=117.2471, Type=velocity_limit, Ratio=13.44x limit
  Segment 134: Magnitude=86.5428, Type=velocity_limit, Ratio=11.95x limit
  Segment 135: Magnitude=66.2232, Type=velocity_limit, Ratio=14.88x limit
  Segment 135: Magnitude=73.4380, Type=velocity_limit, Ratio=23.38x limit
  Segment 135: Magnitude=23.2571, Type=velocity_limit, Ratio=5.39x limit
  Segment 135: Magnitude=27.4914, Type=velocity_limit, Ratio=3.15x limit
  Segment 135: Magnitude=95.5612, Type=velocity_limit, Ratio=13.19x limit
  Segment 135: Magnitude=37.1832, Type=velocity_limit, Ratio=3.10x limit
  Segment 136: Magnitude=33.7537, Type=velocity_limit, Ratio=10.74x limit
  Segment 136: Magnitude=61.4255, Type=velocity_limit, Ratio=14.25x limit
  Segment 136: Magnitude=11.2797, Type=velocity_limit, Ratio=1.29x limit
  Segment 136: Magnitude=95.3551, Type=velocity_limit, Ratio=13.16x limit
  Segment 137: Magnitude=67.2272, Type=velocity_limit, Ratio=7.70x limit
  Segment 137: Magnitude=95.4901, Type=velocity_limit, Ratio=13.18x limit
  Segment 137: Magnitude=65.1813, Type=velocity_limit, Ratio=5.44x limit
  Segment 138: Magnitude=133.1295, Type=velocity_limit, Ratio=11.10x limit
  Segment 139: Magnitude=43.8084, Type=velocity_limit, Ratio=9.84x limit
  Segment 139: Magnitude=43.9527, Type=velocity_limit, Ratio=13.99x limit
  Segment 139: Magnitude=33.8828, Type=velocity_limit, Ratio=7.86x limit
  Segment 139: Magnitude=76.4590, Type=velocity_limit, Ratio=8.76x limit
  Segment 139: Magnitude=95.5071, Type=velocity_limit, Ratio=13.19x limit
  Segment 139: Magnitude=17.9325, Type=velocity_limit, Ratio=1.50x limit
  Segment 140: Magnitude=62.8165, Type=velocity_limit, Ratio=14.11x limit
  Segment 140: Magnitude=43.0572, Type=velocity_limit, Ratio=13.71x limit
  Segment 140: Magnitude=34.7048, Type=velocity_limit, Ratio=8.05x limit
  Segment 140: Magnitude=12.5087, Type=velocity_limit, Ratio=1.43x limit
  Segment 140: Magnitude=53.0769, Type=velocity_limit, Ratio=4.43x limit
  Segment 141: Magnitude=40.7981, Type=velocity_limit, Ratio=9.17x limit
  Segment 141: Magnitude=40.2764, Type=velocity_limit, Ratio=12.82x limit
  Segment 141: Magnitude=39.3668, Type=velocity_limit, Ratio=9.13x limit
  Segment 141: Magnitude=18.3536, Type=velocity_limit, Ratio=2.10x limit
  Segment 141: Magnitude=95.4801, Type=velocity_limit, Ratio=13.18x limit
  Segment 141: Magnitude=51.1060, Type=velocity_limit, Ratio=4.26x limit
  Segment 142: Magnitude=66.2012, Type=velocity_limit, Ratio=14.87x limit
  Segment 142: Magnitude=73.3465, Type=velocity_limit, Ratio=23.35x limit
  Segment 142: Magnitude=23.1352, Type=velocity_limit, Ratio=5.37x limit
  Segment 142: Magnitude=18.0322, Type=velocity_limit, Ratio=2.07x limit
  Segment 142: Magnitude=83.9218, Type=velocity_limit, Ratio=7.00x limit
  Segment 143: Magnitude=65.0274, Type=velocity_limit, Ratio=7.45x limit
  Segment 143: Magnitude=95.2792, Type=velocity_limit, Ratio=13.15x limit
  Segment 143: Magnitude=65.2745, Type=velocity_limit, Ratio=5.44x limit
