time_ms,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m,qw,qx,qy,qz
0.0,-0.8334059442860808,-0.8113631561775416,0.10020991522526158,2.6840688783730915,1.0164234149807176,1.5639430390178668,0.154631957411766,-0.249230742454529,1.62966299057007,0.9790840268042671,-0.16022183195969783,0.11608994893405544,0.04739785624590971
12.47996881501299,-0.8282574322078897,-0.810448623899917,0.10081636417871162,2.68251139089509,1.015593519203135,1.5562198999728183,0.15584066991203036,-0.24916144446803032,1.629360157122431,0.979129135683421,-0.16033177182067868,0.11622156930213143,0.045742818339371716
24.959937630025443,-0.82316412525264,-0.8095231937580434,0.10141797902978247,2.6809852673393966,1.014773816408708,1.5485290706262607,0.1570493824122947,-0.24909214648153163,1.6290573236747923,0.9791715317913302,-0.16044126746709747,0.11635286766719502,0.04408765369796523
37.43990644503843,-0.8181255282954315,-0.8085869630765757,0.10201472431587784,2.6794901616404836,1.0139643359378656,1.5408702785710897,0.15825809491255907,-0.24902284849503295,1.6287544902271534,0.9792112150105322,-0.16055031859558602,0.1164838436654715,0.04243236690748277
49.919875260051704,-0.8131411429781568,-0.807640028206995,0.10260656516449822,2.678025727652722,1.013165101671207,1.5332432498655368,0.15946680741282346,-0.24895355050853424,1.6284516567795144,0.9792481852310808,-0.16065892490400766,0.11661449693407926,0.040776962554055225
62.39984407506416,-0.8082104681568744,-0.8066824845285466,0.10319346729131491,2.676591619385326,1.0123761322241482,1.5256477092851803,0.16067551991308782,-0.24888425252203555,1.6281488233318757,0.9792824423505466,-0.16076708609145823,0.11674482711103092,0.03912144522413927
74.87981289007716,-0.8033330003302754,-0.8057144264499896,0.10377539699791696,2.6751874912253832,1.0115974411383086,1.5180833805634375,0.16188423241335217,-0.24881495453553687,1.6278459898842368,0.9793139862740171,-0.16087480185826683,0.11687483383523424,0.037465819504504554
87.35978170509016,-0.7985082340496684,-0.804735947412101,0.10435232116923868,2.673812998149308,1.0108290370694797,1.5105499866208476,0.16309294491361653,-0.24874565654903819,1.6275431564365979,0.9793428169140965,-0.1609820719059965,0.11700451674649306,0.035810089982221016
99.8397505201026,-0.7937356623109295,-0.8037471398908962,0.1049242072706981,2.6724677959230814,1.0100709239720562,1.503047249783456,0.1643016574138809,-0.2486763585625395,1.6272403229889592,0.9793689341909069,-0.16108889593744533,0.11713387548550844,0.03415426124464623
112.31971933511561,-0.7890147769288542,-0.8027480954015197,0.10549102334506205,2.671151541291619,1.0093231012798134,1.4955748919906084,0.16551036991414525,-0.24860706057604082,1.6269374895413202,0.9793923380320878,-0.16119527365664713,0.11726290969387959,0.032498337879412635
124.79968815012887,-0.784345068894376,-0.8017389045027641,0.10605273800905873,2.6698638921576303,1.008585564082939,1.4881326349924742,0.16671908241440964,-0.2485377625895421,1.6266346560936813,0.9794130283727966,-0.1613012047688721,0.11739161901410483,0.030842324474414824
