6
T0
84
87.51,162.13,77.07,0.016068,0.002530,-0.177004,0.984076,100,0.3,0.3,0.3,0.03,0.3,0.03
86.52,162.13,77.08,0.013437,0.002059,-0.177176,0.984085,100,0.3,0.3,0.3,0.03,0.3,0.03
85.53,162.14,77.35,0.008738,0.001214,-0.177454,0.984090,100,0.3,0.3,0.3,0.03,0.3,0.03
84.55,162.14,77.35,0.003118,0.000202,-0.177743,0.984072,100,0.3,0.3,0.3,0.03,0.3,0.03
83.56,162.14,77.33,-0.002079,-0.000738,-0.177973,0.984033,100,0.3,0.3,0.3,0.03,0.3,0.03
82.57,162.14,77.28,-0.005879,-0.001427,-0.178118,0.983991,100,0.3,0.3,0.3,0.03,0.3,0.03
81.58,162.15,77.22,-0.008147,-0.001838,-0.178191,0.983961,100,0.3,0.3,0.3,0.03,0.3,0.03
80.59,162.15,77.16,-0.009364,-0.002059,-0.178223,0.983943,100,0.3,0.3,0.3,0.03,0.3,0.03
79.60,162.15,77.12,-0.010118,-0.002196,-0.178245,0.983932,100,0.3,0.3,0.3,0.03,0.3,0.03
78.61,162.15,77.07,-0.010746,-0.002310,-0.178281,0.983918,100,0.3,0.3,0.3,0.03,0.3,0.03
77.62,162.15,76.97,-0.011278,-0.002407,-0.178338,0.983902,100,0.3,0.3,0.3,0.03,0.3,0.03
76.63,162.16,76.91,-0.011685,-0.002482,-0.178407,0.983884,100,0.3,0.3,0.3,0.03,0.3,0.03
75.65,162.16,76.83,-0.011959,-0.002533,-0.178474,0.983869,100,0.3,0.3,0.3,0.03,0.3,0.03
74.66,162.16,76.75,-0.012224,-0.002581,-0.178531,0.983855,100,0.3,0.3,0.3,0.03,0.3,0.03
73.67,162.16,76.69,-0.012571,-0.002645,-0.178585,0.983841,100,0.3,0.3,0.3,0.03,0.3,0.03
72.68,162.17,76.62,-0.013019,-0.002728,-0.178647,0.983823,100,0.3,0.3,0.3,0.03,0.3,0.03
71.69,162.17,76.54,-0.013429,-0.002803,-0.178718,0.983805,100,0.3,0.3,0.3,0.03,0.3,0.03
70.70,162.17,76.43,-0.013646,-0.002844,-0.178797,0.983787,100,0.3,0.3,0.3,0.03,0.3,0.03
