x,y,z,qw,qx,qy,qz
-0.4689996536463574,-0.8948788777325778,0.4507662727123993,-0.119737735984246,0.70236824505712,-0.690768533347658,0.12320655920089799
-0.46896728908625995,-0.8969386387849856,0.4507723507246815,-0.119035313012504,0.704044224292628,-0.689204883427466,0.12307442013617999
-0.4689346575540932,-0.8989980834182139,0.45081842659446664,-0.11990755151316002,0.7014970997225999,-0.6916476783794959,0.123070892778368
-0.4689023597370131,-0.9010579235754166,0.45081450514237326,-0.120035269970526,0.703961069132054,-0.68893406277837,0.124094662568232
-0.46886972820484635,-0.9031173682086447,0.45086058101215837,-0.11949998619423602,0.703187111713752,-0.6899677043552019,0.123253436856104
-0.4688372301587143,-0.9051769710514627,0.45088665795319205,-0.11926706643276,0.7042165822299141,-0.688934393833704,0.123380681684604
-0.46880459862654755,-0.9072364156846908,0.45093273382297716,-0.11946755521276399,0.7019521090932801,-0.6913149603118919,0.122775927340194
-0.4687722340664501,-0.9092961767370987,0.4509388118352595,-0.12044726930789601,0.6995436479479721,-0.6935534482771419,0.122932927157612
-0.46874020322143933,-0.9113563333134813,0.4508948925256632,-0.11944718878429401,0.704303048554452,-0.688775058908938,0.12360038999566199
-0.46870750494625524,-0.9134156988419144,0.45095096785982414,-0.119824091884104,0.702632598501452,-0.6904506297122299,0.12339325388838798
-0.4686750736431405,-0.9154753807895273,0.4509670453364821,-0.12111820620827202,0.6972480938857141,-0.695767785324988,0.12280690204063999
-0.4686432430271817,-0.9175357746802947,0.4508931276337587,-0.11967353417936402,0.7051352438686701,-0.687787065443408,0.12414066485454
-0.4686104780089803,-0.919595061103933,0.4509592024322952,-0.119654641899686,0.7019740286118121,-0.69122410632406,0.12297909609925599
-0.4685781134488829,-0.9216548221563409,0.45096528044457757,-0.119430715291962,0.70455429362928,-0.6885082662495741,0.123674995790046
-0.46854548191671613,-0.9237142667895689,0.4510113563143627,-0.119347827519758,0.7020287807479301,-0.691274736112158,0.122678867005568
-0.46851311735661877,-0.9257740278419768,0.451017434326645,-0.11927286030162,0.702863838089262,-0.6903986889450661,0.12289948538109
-0.4684806193104866,-0.9278336306847949,0.4510435112676787,-0.119163314656374,0.70217675362491,-0.691180160136496,0.122538726711968
-0.4684482547503892,-0.9298933917372028,0.45104958927996097,-0.11952032975669602,0.703326199628038,-0.689809416731192,0.12332431458543999
-0.4684157567042571,-0.9319529945800207,0.45107566622099465,-0.11961973858400404,0.704494084333654,-0.688505148149778,0.12385119232347401
-0.468383058429073,-0.9340123601084538,0.4511317415551555,-0.11946156601351403,0.7032346665008901,-0.689929104721408,0.123230798559518
-0.46835056038294093,-0.9360719629512717,0.45115781849618924,-0.11950546436449401,0.700851481415848,-0.6924862462429461,0.12242259148070798
-0.46831832930887823,-0.9381318822132695,0.45114389757972007,-0.11981842771812201,0.702096926644574,-0.691031921654404,0.12319373105372
-0.46828596474878076,-0.9401916432656774,0.45114997559200243,-0.11997222638554803,0.70249708347195,-0.690543706178152,0.123498982487764
-0.468253533445666,-0.9422513252132904,0.4511660530686604,-0.11937448880057602,0.7037993853692041,-0.6893490339703698,0.12334185788087
-0.46822096865651663,-0.9443108489513133,0.4512021294740698,-0.11945132318613604,0.7034192455292361,-0.689732942404224,0.123285350463426
-0.4681884038673672,-0.9463703726893363,0.4512382058794792,-0.11960050215384,0.702298112098208,-0.69089303110057,0.12303865011081398
-0.46815603930726973,-0.9484301337417442,0.4512442838917615,-0.11918813861730802,0.7046135398476341,-0.6885305328959679,0.123440606199164
-0.46812334103208564,-0.9504894992701775,0.4513003592259224,-0.119686383221468,0.702382748321276,-0.690770555312518,0.12315883652460201
-0.46809090972897094,-0.9525491812177904,0.45131643670258037,-0.11953262663596402,0.7019952267571721,-0.691244507037322,0.122859143257076
-0.46805854516887346,-0.9546089422701982,0.4513225147148627,-0.118994464658898,0.7031426614482201,-0.6901961855790859,0.122709718485926
-0.4680260471227414,-0.9566685451130162,0.45134859165589636,-0.119430767539806,0.702079702825776,-0.691189346553452,0.1227837787824
-0.467993682562644,-0.9587283061654241,0.45135466966817867,-0.11976536508472803,0.7028387261399501,-0.690249350341094,0.1234056658896
-0.4679612512595292,-0.960787988113037,0.4513707471448366,-0.11964846646304203,0.7026296930009499,-0.6905179660599,0.12320822418256
-0.4679288199564145,-0.96284767006065,0.45138682462149465,-0.11951642986981802,0.7023609129462219,-0.69085573762746,0.122973896122092
-0.4678963886532997,-0.9649073520082629,0.45140290209815265,-0.119309898580736,0.7042174806109499,-0.6889180906476599,0.12342553478478199
-0.46786375712113293,-0.966966796641491,0.45144897796793776,-0.119882503791858,0.701467495063656,-0.6916875663026619,0.123035282056182
-0.4678314593040529,-0.9690266367986938,0.4514450565158444,-0.11937633522885001,0.70284957018738,-0.690376823265014,0.123002583532318
-0.46779896125792075,-0.9710862396415119,0.45147113345687806,-0.119642527613602,0.7028206039489721,-0.6903125482628599,0.123269755943184
-0.46776652995480605,-0.9731459215891247,0.45148721093353605,-0.11931121779057201,0.7033498109136459,-0.6898595629675859,0.123113227104226
-0.46773403190867396,-0.9752055244319426,0.45151328787456974,-0.119566165605628,0.7022670659040261,-0.690938597448884,0.12299253249339401
-0.46770160060555915,-0.9772652063795556,0.4515293653512278,-0.119490146246628,0.7021305276635841,-0.6911138746863339,0.12286416520976598
-0.4676692360454618,-0.9793249674319635,0.4515354433635101,-0.119350489896936,0.7025117800076781,-0.6907512189515019,0.12285477517532199
-0.46763680474234703,-0.9813846493795765,0.4515515208401681,-0.11937600931035601,0.7032756925053161,-0.6899153511215139,0.123156322146198
-0.46760430669621494,-0.9834442522223944,0.4515775977812018,-0.119075133457582,0.704255006362272,-0.6889610525997599,0.12319335969057799
-0.4675716751640482,-0.9855036968556224,0.45162367365098693,-0.118944663037418,0.703491335375564,-0.6898373042182919,0.12278177479836
-0.46753911037489876,-0.9875632205936455,0.4516597500563963,-0.11955903994049001,0.7002978094196901,-0.6930619931557939,0.122281334337726
-0.4675069460438533,-0.9896232189604383,0.45163582967555144,-0.11889132570262001,0.704680978844148,-0.6885654903440339,0.12315292266763199
-0.46747431451168653,-0.9916826635936663,0.45168190554533666,-0.11935411457453401,0.7022534554544121,-0.691029393074624,0.122766196174424
-0.46744188320857183,-0.9937423455412793,0.4516979830219946,-0.11870400311396201,0.703455827043124,-0.6899615593914461,0.12251768311532599
