point spacing  (mm),zone,max crusing speed (mm/s)
0.5,z0,62.44
0.5,z1,62.44
0.5,z5,62.44
,,
1,z0,75
1,z1,125
1,z5,125
,,
1.5,z0,107.73
1.5,z1,187.3
1.5,z5,187.3
,,
2,z0,128
2,z1,250
2,z5,250
,,
2.5,z0,173
2.5,z1,278
2.5,z5,312
,,
3,z0,215
3,z1,250
3,z5,375
,,
3.5,z0,255
3.5,z1,250
3.5,z5,437
,,
4,z0,295
4,z1,280
4,z5,500
,,
4.5,z0,331
4.5,z1,287
4.5,z5,562
,,
5,z0,366
5,z1,292
5,z5,625
