Continuity Violations Report: Traj_98_[1-21]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 21

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 0
  Segment 1: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 1
  Segment 2: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 2
  Segment 3: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 3
  Segment 4: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 4
  Segment 5: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 5
  Segment 6: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 6
  Segment 7: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 7
  Segment 8: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 8
  Segment 9: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 9
  Segment 10: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 10
  Segment 11: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 11
  Segment 12: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 12
  Segment 13: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 13
  Segment 14: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 14
  Segment 15: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 15
  Segment 16: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 16
  Segment 17: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 17
  Segment 18: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 18
  Segment 19: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 19
  Segment 20: Magnitude=0.0000, Type=ik_failure, Details=IK failed at pose 20
  Segment 0: Magnitude=14.3482, Type=large_step, Details=Step norm 822.1° exceeds limit 30.0°
  Segment 1: Magnitude=5.4876, Type=large_step, Details=Step norm 314.4° exceeds limit 30.0°
  Segment 2: Magnitude=8.9622, Type=large_step, Details=Step norm 513.5° exceeds limit 30.0°
  Segment 3: Magnitude=8.8953, Type=large_step, Details=Step norm 509.7° exceeds limit 30.0°
  Segment 4: Magnitude=9.4769, Type=large_step, Details=Step norm 543.0° exceeds limit 30.0°
  Segment 5: Magnitude=8.7875, Type=large_step, Details=Step norm 503.5° exceeds limit 30.0°
  Segment 6: Magnitude=8.1786, Type=large_step, Details=Step norm 468.6° exceeds limit 30.0°
  Segment 7: Magnitude=12.5581, Type=large_step, Details=Step norm 719.5° exceeds limit 30.0°
  Segment 8: Magnitude=8.3395, Type=large_step, Details=Step norm 477.8° exceeds limit 30.0°
  Segment 9: Magnitude=6.6768, Type=large_step, Details=Step norm 382.5° exceeds limit 30.0°
  Segment 10: Magnitude=8.2331, Type=large_step, Details=Step norm 471.7° exceeds limit 30.0°
  Segment 11: Magnitude=6.2828, Type=large_step, Details=Step norm 360.0° exceeds limit 30.0°
  Segment 12: Magnitude=7.1204, Type=large_step, Details=Step norm 408.0° exceeds limit 30.0°
  Segment 13: Magnitude=6.2122, Type=large_step, Details=Step norm 355.9° exceeds limit 30.0°
  Segment 14: Magnitude=6.4113, Type=large_step, Details=Step norm 367.3° exceeds limit 30.0°
  Segment 15: Magnitude=9.5580, Type=large_step, Details=Step norm 547.6° exceeds limit 30.0°
  Segment 16: Magnitude=10.5248, Type=large_step, Details=Step norm 603.0° exceeds limit 30.0°
  Segment 17: Magnitude=8.1133, Type=large_step, Details=Step norm 464.9° exceeds limit 30.0°
  Segment 18: Magnitude=11.7329, Type=large_step, Details=Step norm 672.2° exceeds limit 30.0°
  Segment 19: Magnitude=11.9000, Type=large_step, Details=Step norm 681.8° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 0: Magnitude=512.1937, Type=velocity_limit, Ratio=115.08x limit
  Segment 0: Magnitude=26.3976, Type=velocity_limit, Ratio=8.40x limit
  Segment 0: Magnitude=132.9988, Type=velocity_limit, Ratio=30.85x limit
  Segment 0: Magnitude=728.3293, Type=velocity_limit, Ratio=83.46x limit
  Segment 0: Magnitude=447.2617, Type=velocity_limit, Ratio=61.75x limit
  Segment 0: Magnitude=1022.5552, Type=velocity_limit, Ratio=85.28x limit
  Segment 1: Magnitude=151.9848, Type=velocity_limit, Ratio=48.38x limit
  Segment 1: Magnitude=277.1676, Type=velocity_limit, Ratio=64.29x limit
  Segment 1: Magnitude=337.6990, Type=velocity_limit, Ratio=38.70x limit
  Segment 1: Magnitude=294.7923, Type=velocity_limit, Ratio=24.59x limit
