Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0221506907935885,-0.000643800152499979,0.127578333000456,0,0,0,13191690802.2938,112235173.878528,-736769.2371072,-3026862.39385771,135287698.253921,111891.870708267,111315332.497889,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/base_link.STL,,link0-rear cable-2,Robot Base CSYS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.0119006283254235,-0.000928578941109581,0.140669643152826,0,0,0,15143711685.0337,188271729.891443,6848136.72523368,-19307801.5298219,165878285.13941,44221901.4286603,135281918.645801,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_1.STL,,link1_900-1,CSYS Joint 1,Axis Joint 1,Joint_1,revolute,0,0,0.254,0,0,0,base_link,0,0,1,1,1,-3.142,3.142,,,,,,,,
Link_2,-0.00877667239933051,-0.000996240457898308,0.167419918170961,0,0,0,13168240511.6789,400916800.395136,36985.4685822592,2725217.82741308,347418413.805182,-4330778.89813889,97005589.6044289,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_2.STL,,link2_900-1,CSYS Joint 2,Axis Joint 2,Joint_2,revolute,0.05,0,0.29,0,0,0,Link_1,0,1,0,1,1,-1.745,2.269,,,,,,,,
Link_3,0.00582824635667976,-0.00136234403803536,0.0113948590300809,0,0,0,4421135022.18643,14833281.0794972,3490.30276357321,-1548165.74541698,25924462.2077221,-109625.151216777,22585125.9755545,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_3.STL,,link3-1,CSYS Joint 3,Axis Joint 3,Joint_3,revolute,0,0,0.425,0,0,0,Link_2,0,1,0,1,1,-3.665,1.134,,,,,,,,
Link_4,0.138757323385849,-0.00136554499028702,0.00130604353734176,0,0,0,3695342210.06587,6211471.0758242,2266889.57898457,216935.316893459,30769779.7364414,-69749.2763079742,29461847.3036725,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_4.STL,,link4_900-1,CSYS Joint 4,Axis Joint 4,Joint_4,revolute,0.1295,0,0.04,0,0,0,Link_3,1,0,0,1,1,-4.014,4.014,,,,,,,,
Link_5,0.0206026076662321,0.00885881053721005,5.87691527269563E-05,0,0,0,586394466.626242,494380.35600835,62466.4124834475,2010.0352012292,784306.152748071,105.933002680456,727536.84267256,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_5.STL,,link5-IP40IP67CR-1,CSYS Joint 5,Axis Joint 5,Joint_5,revolute,0.2955,0,0,0,0,0,Link_4,0,1,0,1,1,-2.269,2.269,,,,,,,,
Link_6,0.000141388062543157,7.71902908149874E-05,-0.00303976538423301,0,0,0,7900320.12561475,1599.6825833401,-11.6947500504243,-0.0444183698533865,1514.46478201559,-0.0242500450694968,3067.75217763404,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://IRB-1300 900 URDF/meshes/Link_6.STL,,link6-IP40IP67CR-1,CSYS Joint 6,Axis Joint 6,Joint_6,revolute,0.09,0,0,0,1.5708,0,Link_5,0,0,1,1,1,-6.981,6.981,,,,,,,,
