waypoint_index,solution_index,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,cf1,cf4,cf6,cfx,is_selected
0,0,132.24935677129255,-68.42911049034784,-3.928590131569534,-116.20878279679873,24.746697070989185,-166.464384242268,1,-2,-2,2,0
0,1,132.24935677129255,-68.42911049034784,-3.928590131569534,63.79121720320128,-24.746697070989185,13.535615757732005,1,0,0,3,0
0,2,-47.75064322870746,-46.487684501387,5.741605207771259,153.78581865319083,58.23677187666937,89.6073355345876,-1,1,0,6,1
0,3,-47.75064322870746,-46.487684501387,5.741605207771259,-26.21418134680918,-58.23677187666937,-90.39266446541241,-1,-1,-2,7,0
1,0,132.544344784145,-68.49051097425695,-3.941631034896721,-116.29989750614128,24.837395026463195,-166.86639957817238,1,-2,-2,2,0
1,1,132.544344784145,-68.49051097425695,-3.941631034896721,63.70010249385872,-24.837395026463195,13.13360042182761,1,0,0,3,0
1,2,-47.45565521585498,-46.435285661650624,5.776352173294072,153.69658119405685,58.18922235117815,89.16483226271362,-1,1,0,6,1
1,3,-47.45565521585498,-46.435285661650624,5.776352173294072,-26.303418805943153,-58.18922235117815,-90.83516773728638,-1,-1,-2,7,0
2,0,132.83616977644544,-68.55192853111487,-3.9552371998832694,-116.38962376752372,24.926366002130674,-167.26707406109875,1,-2,-2,2,0
2,1,132.83616977644544,-68.55192853111487,-3.9552371998832694,63.61037623247629,-24.926366002130674,12.732925938901253,1,0,0,3,0
2,2,-47.16383022355455,-46.38226242028708,5.810822165152823,153.60914075530013,58.14225684060241,88.72418020020052,-1,1,0,6,1
2,3,-47.16383022355455,-46.38226242028708,5.810822165152823,-26.39085924469988,-58.14225684060241,-91.27581979979948,-1,-1,-2,7,0
3,0,133.12486011676097,-68.61335792584977,-3.9694060917305123,-116.47797158803425,25.013626422123227,-167.6664193465093,1,-2,-2,2,0
3,1,133.12486011676097,-68.61335792584977,-3.9694060917305123,63.522028411965756,-25.013626422123227,12.333580653490724,1,0,0,3,0
3,2,-46.87513988323904,-46.32862035358832,5.845013151490415,153.52347750882646,58.09587702602488,88.28536373927089,-1,1,0,6,1
3,3,-46.87513988323904,-46.32862035358832,5.845013151490415,-26.476522491173544,-58.09587702602488,-91.71463626072911,-1,-1,-2,7,0
4,0,133.41044435890777,-68.67479398860954,-3.9841352052894807,-116.56495103387152,25.099192758365774,-168.0644472574972,1,-2,-2,2,0
4,1,133.41044435890777,-68.67479398860954,-3.9841352052894807,63.43504896612849,-25.099192758365774,11.935552742502809,1,0,0,3,0
4,2,-46.58955564109222,-46.274364982087576,5.878923134259804,153.4395716219522,58.050084275703114,87.84836718421758,-1,1,0,6,1
4,3,-46.58955564109222,-46.274364982087576,5.878923134259804,-26.560428378047803,-58.050084275703114,-92.1516328157824,-1,-1,-2,7,0
5,0,133.6929512163187,-68.73623161470826,-3.999422064937929,-116.65057222209859,25.183081517493388,-168.46116977044167,1,-2,-2,2,0
5,1,133.6929512163187,-68.73623161470826,-3.999422064937929,63.34942777790142,-25.183081517493388,11.538830229558352,1,0,0,3,0
5,2,-46.30704878368132,-46.21950177061305,5.912550149113652,153.3574032708656,58.004879656221874,87.41317476584281,-1,1,0,6,1
5,3,-46.30704878368132,-46.21950177061305,5.912550149113652,-26.64259672913442,-58.004879656221874,-92.5868252341572,-1,-1,-2,7,0
6,0,133.97240953749366,-68.79766576452549,-4.015264224438724,-116.73484531264681,25.26530922839295,-168.8565990012753,1,-2,-2,2,0
6,1,133.97240953749366,-68.79766576452549,-4.015264224438724,63.26515468735319,-25.26530922839295,11.1434009987247,1,0,0,3,0
6,2,-46.02759046250635,-46.16403612838819,5.945892265275235,153.2769526534054,57.960263943458806,86.97977065523736,-1,1,0,6,1
6,3,-46.02759046250635,-46.16403612838819,5.945892265275235,-26.72304734659461,-57.960263943458806,-93.02022934476264,-1,-1,-2,7,0
7,0,134.24884828250947,-68.85909146336053,-4.031659266781478,-116.81778050057233,25.345892430351373,-169.25074719234783,1,-2,-2,2,0
7,1,134.24884828250947,-68.85909146336053,-4.031659266781478,63.18221949942769,-25.345892430351373,10.749252807652162,1,0,0,3,0
7,2,-45.751151717490536,-46.10797340917515,5.978947585391052,153.19820000117633,57.91623763335423,86.54813897691754,-1,1,0,6,1
7,3,-45.751151717490536,-46.10797340917515,5.978947585391052,-26.801799998823657,-57.91623763335423,-93.45186102308247,-1,-1,-2,7,0
8,0,134.52229650056262,-68.92050380124479,-4.048604804007812,-116.89938800856544,25.424847661794193,-169.64362669986687,1,-2,-2,2,0
8,1,134.52229650056262,-68.92050380124479,-4.048604804007812,63.10061199143456,-25.424847661794193,10.356373300133134,1,0,0,3,0
8,2,-45.47770349943738,-46.05131891145932,6.011714245366867,153.12112559102195,57.87280095247827,86.11826382133766,-1,1,0,6,1
8,3,-45.47770349943738,-46.05131891145932,6.011714245366867,-26.878874408978046,-57.87280095247827,-93.88173617866235,-1,-1,-2,7,0
9,0,134.79278330852054,-68.98189793271443,-4.066098477022019,-116.97967807971465,25.502191449596612,-170.03524998189928,1,-2,-2,2,0
9,1,134.79278330852054,-68.98189793271443,-4.066098477022019,63.02032192028535,-25.502191449596612,9.96475001810072,1,0,0,3,0
9,2,-45.207216691479466,-45.99407787867224,6.044190414188096,153.0457097558746,57.82995386838865,85.69012925679581,-1,1,0,6,1
9,3,-45.207216691479466,-45.99407787867224,6.044190414188096,-26.954290244125385,-57.82995386838865,-94.3098707432042,-1,-1,-2,7,0
10,0,135.06033787045448,-69.04326907654608,-4.084137955387543,-117.05866097052319,25.577940298950043,-170.42562958691533,1,-2,-2,2,0
10,1,135.06033787045448,-69.04326907654608,-4.084137955387543,62.941339029476815,-25.577940298950043,9.574370413084667,1,0,0,3,0
10,2,-44.93966212954553,-45.93625549945054,6.076374293725714,152.9719328950034,57.78769609977384,85.26371934075101,-1,1,0,6,1
10,3,-44.93966212954553,-45.93625549945054,6.076374293725714,-27.028067104996612,-57.78769609977384,-94.73628065924899,-1,-1,-2,7,0
11,0,135.32498937812787,-69.10461251545712,-4.102720937111574,-117.13634694417786,25.652110683766523,-170.81477814285947,1,-2,-2,2,0
11,1,135.32498937812787,-69.10461251545712,-4.102720937111574,62.86365305582214,-25.652110683766523,9.185221857140542,1,0,0,3,0
11,2,-44.67501062187215,-45.87785690792809,6.108264118528141,152.8997754836792,57.74602712637733,84.83901813057001,-1,1,0,6,1
11,3,-44.67501062187215,-45.87785690792809,6.108264118528141,-27.100224516320814,-57.74602712637733,-95.16098186942999,-1,-1,-2,7,0
12,0,135.58676703241363,-69.16592359577449,-4.121845148416286,-117.21274626406856,25.724719037603784,-171.2027083467293,1,-2,-2,2,0
12,1,135.58676703241363,-69.16592359577449,-4.121845148416286,62.78725373593145,-25.724719037603784,8.797291653270694,1,0,0,3,0
12,2,-44.41323296758636,-45.818887184060195,6.139858155601505,152.8292180822778,57.70494619869906,84.41600969372107,-1,1,0,6,1
12,3,-44.41323296758636,-45.818887184060195,6.139858155601505,-27.17078191772221,-57.70494619869906,-95.58399030627892,-1,-1,-2,7,0
13,0,135.84570002561364,-69.22719772707191,-4.141508343500978,-117.28786918755492,25.7957817450937,-171.58943295464883,1,-2,-2,2,0
13,1,135.84570002561364,-69.22719772707191,-4.141508343500978,62.71213081244509,-25.7957817450937,8.410567045351169,1,0,0,3,0
13,2,-44.154299974386355,-45.7593513539763,6.1711547041771855,152.76024134483978,57.66445234747125,83.99467811743338,-1,1,0,6,1
13,3,-44.154299974386355,-45.7593513539763,6.1711547041771855,-27.23975865516022,-57.66445234747125,-96.00532188256663,-1,-1,-2,7,0
14,0,136.1018175246531,-69.28843038177975,-4.161708304292967,-117.36172595997846,25.865315133856864,-171.97496477241705,1,-2,-2,2,0
14,1,136.1018175246531,-69.28843038177975,-4.161708304292967,62.63827404002156,-25.865315133856864,8.025035227582954,1,0,0,3,0
14,2,-43.89818247534691,-45.69925439036017,6.20215209546943,152.69282602710769,57.624544392906394,83.5750075178395,-1,1,0,6,1
14,3,-43.89818247534691,-45.69925439036017,6.20215209546943,-27.307173972892333,-57.624544392906394,-96.42499248216052,-1,-1,-2,7,0
15,0,136.35514865512394,-69.34961709476804,-4.182442840189852,-117.43432680891607,25.933335466886685,-172.3593166465177,1,-2,-2,2,0
15,1,136.35514865512394,-69.34961709476804,-4.182442840189852,62.56567319108394,-25.933335466886685,7.640683353482305,1,0,0,3,0
15,2,-43.64485134487605,-45.638601212855185,6.232848692422992,152.6269529940588,57.58522095371622,83.15698204861835,-1,1,0,6,1
15,3,-43.64485134487605,-45.638601212855185,6.232848692422992,-27.373047005941224,-57.58522095371622,-96.84301795138167,-1,-1,-2,7,0
16,0,136.60572248614994,-69.41075346290525,-4.203709787793799,-117.50568193867119,25.999858935385642,-172.74250145557434,1,-2,-2,2,0
16,1,136.60572248614994,-69.41075346290525,-4.203709787793799,62.494318061328826,-25.999858935385642,7.257498544425664,1,0,0,3,0
16,2,-43.39427751385006,-45.57739668849264,6.263242889451312,152.56260322695334,57.546480455900166,82.74058590915647,-1,1,0,6,1
16,3,-43.39427751385006,-45.57739668849264,6.263242889451312,-27.43739677304666,-57.546480455900166,-97.25941409084353,-1,-1,-2,7,0
17,0,136.85356801604712,-69.47183514459462,-4.225507010637821,-117.57580152499874,26.06490165203795,-173.12453210223478,1,-2,-2,2,0
17,1,136.85356801604712,-69.47183514459462,-4.225507010637821,62.42419847500128,-26.06490165203795,6.87546789776522,1,0,0,3,0
17,2,-43.14643198395288,-45.51564563214161,6.2933331121671205,152.49975782991618,57.50832114130393,82.3258033522445,-1,1,0,6,1
17,3,-43.14643198395288,-45.51564563214161,6.2933331121671205,-27.500242170083837,-57.50832114130393,-97.67419664775551,-1,-1,-2,7,0
18,0,137.09871415875358,-69.53285785928962,-4.247832398905404,-117.6446957100596,26.128479644701574,-173.50542150547017,1,-2,-2,2,0
18,1,137.09871415875358,-69.53285785928962,-4.247832398905404,62.355304289940406,-26.128479644701574,6.4945784945298435,1,0,0,3,0
18,2,-42.90128584124645,-45.45335280697846,6.32311781710517,152.43839803607045,57.470741075947274,81.91261869132583,-1,1,0,6,1
18,3,-42.90128584124645,-45.45335280697846,6.32311781710517,-27.561601963929565,-57.470741075947274,-98.08738130867415,-1,-1,-2,7,0
19,0,137.34118973100223,-69.59381738699,-4.270683869144835,-117.71237459759882,26.190608850504017,-173.88518259327478,1,-2,-2,2,0
19,1,137.34118973100223,-69.59381738699,-4.270683869144835,62.28762540240119,-26.190608850504017,6.11481740672523,1,0,0,3,0
19,2,-42.65881026899778,-45.39052292497403,6.352595491438116,152.3785052132412,57.433738158122786,81.50101630731419,-1,1,0,6,1
19,3,-42.65881026899778,-45.39052292497403,6.352595491438116,-27.621494786758824,-57.433738158122786,-98.49898369268583,-1,-1,-2,7,0
20,0,137.58102344021134,-69.65470956772079,-4.294059363977021,-117.77884824834469,26.25130511032645,-174.2638282957505,1,-2,-2,2,0
20,1,137.58102344021134,-69.65470956772079,-4.294059363977021,62.22115175165533,-26.25130511032645,5.736171704249521,1,0,0,3,0
20,2,-42.41897655978866,-45.32716064739765,6.381764652686726,152.32006086924645,57.39731012626618,81.09098065499633,-1,1,0,6,1
20,3,-42.41897655978866,-45.32716064739765,6.381764652686726,-27.679939130753567,-57.39731012626618,-98.90901934500368,-1,-1,-2,7,0
21,0,137.81824387306713,-69.71553030099491,-4.3179568517995826,-117.84412667562106,26.31058416365997,-174.64137153856393,1,-2,-2,2,0
21,1,137.81824387306713,-69.71553030099491,-4.3179568517995826,62.15587332437894,-26.31058416365997,5.3586284614360755,1,0,0,3,0
21,2,-42.181756126932875,-45.26327058533566,6.410623848424359,152.26304665679285,57.36145456659985,80.68249626903595,-1,1,0,6,1
21,3,-42.181756126932875,-45.26327058533566,6.410623848424359,-27.736953343207176,-57.36145456659985,-99.31750373096405,-1,-1,-2,7,0
22,0,138.0528794847736,-69.77627554526138,-4.342374326486486,-117.90821984117018,26.36846164381967,-175.01782523676096,1,-2,-2,2,0
22,1,138.0528794847736,-69.77627554526138,-4.342374326486486,62.09178015882985,-26.36846164381967,4.982174763239064,1,0,0,3,0
22,2,-41.94712051522641,-45.19885730022337,6.439171655976531,152.2074443779926,57.326168920551716,80.27554776959444,-1,1,0,6,1
