waypoint_index,solution_index,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,cf1,cf4,cf6,cfx,is_selected
29,0,-17.570594737126445,17.419869141945135,-26.24104790400343,179.82091570763515,59.98570343665371,-73.81209890717513,-1,1,-1,6,0
29,1,-17.570594737126445,17.419869141945135,-26.24104790400343,-0.17908429236487505,-59.98570343665371,106.18790109282487,-1,-1,1,7,1
30,0,-17.526056707663273,17.4665141943957,-26.28771503977093,-179.63052705054983,59.91092709083621,-74.10782438434293,-1,-2,-1,6,0
30,1,-17.526056707663273,17.4665141943957,-26.28771503977093,0.3694729494501808,-59.91092709083621,105.89217561565707,-1,0,1,7,1
31,0,-17.481247525889355,17.51386667566687,-26.336314000722254,-179.08093687946484,59.83772515598354,-74.40492288524311,-1,-2,-1,6,0
31,1,-17.481247525889355,17.51386667566687,-26.336314000722254,0.9190631205351707,-59.83772515598354,105.59507711475689,-1,0,1,7,1
32,0,-17.438831052986863,17.532556297104335,-26.343790199091544,-178.54694442445495,59.71328197720586,-74.6946527596249,-1,-2,-1,6,0
32,1,-17.438831052986863,17.532556297104335,-26.343790199091544,1.4530555755450745,-59.71328197720586,105.3053472403751,-1,0,1,7,1
33,0,-17.396076104050483,17.55183887817485,-26.35307135092579,-178.01127709989225,59.59029116070816,-74.9864356472992,-1,-2,-1,6,0
33,1,-17.396076104050483,17.55183887817485,-26.35307135092579,1.988722900107752,-59.59029116070816,105.01356435270081,-1,0,1,7,1
34,0,-17.358626350153983,17.54444066172043,-26.325442021167753,-177.50949776245457,59.41617310243329,-75.26092210963202,-1,-2,-1,6,0
34,1,-17.358626350153983,17.54444066172043,-26.325442021167753,2.4905022375454244,-59.41617310243329,104.73907789036798,-1,0,1,7,1
35,0,-17.320801151099573,17.537500695181304,-26.299467793843135,-177.00551263025767,59.24321300184802,-75.53802901962587,-1,-2,-1,6,0
35,1,-17.320801151099573,17.537500695181304,-26.299467793843135,2.9944873697423353,-59.24321300184802,104.46197098037415,-1,0,1,7,1
36,0,-17.29109440038036,17.506828251710264,-26.24208686069328,-176.55274474232823,59.02078971357473,-75.78843249978598,-1,-2,-1,6,0
36,1,-17.29109440038036,17.506828251710264,-26.24208686069328,3.447255257671775,-59.02078971357473,104.21156750021403,-1,0,1,7,1
37,0,-17.261011866530712,17.47647343876188,-26.186201919363842,-176.0974298103499,58.79909928530537,-76.04182870573842,-1,-2,-1,6,0
