91.41,161.24,72.83,0.010842,-0.002003,-0.181642,0.983303,100,0.3,0.3,0.3,0.03,0.3,0.03
90.42,161.27,72.83,0.010842,-0.002003,-0.181642,0.983303,100,0.3,0.3,0.3,0.03,0.3,0.03
89.43,161.29,72.83,0.010842,-0.002003,-0.181642,0.983303,100,0.3,0.3,0.3,0.03,0.3,0.03
88.44,161.31,72.83,0.010842,-0.002003,-0.181642,0.983303,100,0.3,0.3,0.3,0.03,0.3,0.03
87.45,161.33,72.83,0.010842,-0.002003,-0.181642,0.983303,100,0.3,0.3,0.3,0.03,0.3,0.03
86.46,161.35,72.83,0.034365,0.002344,-0.181638,0.982762,100,0.3,0.3,0.3,0.03,0.3,0.03
85.47,161.38,72.96,0.004446,-0.003195,-0.182235,0.983240,100,0.3,0.3,0.3,0.03,0.3,0.03
84.49,161.40,72.93,0.008293,-0.002473,-0.181628,0.983329,100,0.3,0.3,0.3,0.03,0.3,0.03
83.50,161.42,72.91,-0.002575,-0.004486,-0.181807,0.983321,100,0.3,0.3,0.3,0.03,0.3,0.03
82.51,161.44,72.84,0.006627,-0.002790,-0.182187,0.983238,100,0.3,0.3,0.3,0.03,0.3,0.03
81.52,161.47,72.81,0.003096,-0.003453,-0.182631,0.983171,100,0.3,0.3,0.3,0.03,0.3,0.03
80.53,161.49,72.77,-0.002849,-0.004554,-0.182477,0.983195,100,0.3,0.3,0.3,0.03,0.3,0.03
79.54,161.51,72.69,0.002682,-0.003519,-0.182105,0.983269,100,0.3,0.3,0.3,0.03,0.3,0.03
78.55,161.53,72.65,-0.004870,-0.004930,-0.182525,0.983177,100,0.3,0.3,0.3,0.03,0.3,0.03
77.56,161.55,72.56,-0.000457,-0.004107,-0.182370,0.983221,100,0.3,0.3,0.3,0.03,0.3,0.03
76.57,161.57,72.50,-0.001128,-0.004237,-0.182595,0.983178,100,0.3,0.3,0.3,0.03,0.3,0.03
75.59,161.60,72.43,-0.009138,-0.005740,-0.183047,0.983045,100,0.3,0.3,0.3,0.03,0.3,0.03
74.60,161.62,72.32,-0.003166,-0.004621,-0.182825,0.983130,100,0.3,0.3,0.3,0.03,0.3,0.03
73.61,161.64,72.24,0.001862,-0.003683,-0.182660,0.983167,100,0.3,0.3,0.3,0.03,0.3,0.03
72.62,161.66,72.19,-0.005750,-0.005104,-0.182912,0.983099,100,0.3,0.3,0.3,0.03,0.3,0.03
71.63,161.69,72.10,-0.007666,-0.005476,-0.183396,0.982994,100,0.3,0.3,0.3,0.03,0.3,0.03
70.64,161.71,71.99,-0.003678,-0.004718,-0.182895,0.983114,100,0.3,0.3,0.3,0.03,0.3,0.03
69.65,161.73,71.91,-0.001039,-0.004226,-0.182838,0.983133,100,0.3,0.3,0.3,0.03,0.3,0.03
68.66,161.75,71.85,0.000256,-0.003996,-0.183336,0.983042,100,0.3,0.3,0.3,0.03,0.3,0.03
67.67,161.77,71.79,-0.004678,-0.004923,-0.183590,0.982979,100,0.3,0.3,0.3,0.03,0.3,0.03
66.68,161.79,71.70,-0.003275,-0.004654,-0.183304,0.983040,100,0.3,0.3,0.3,0.03,0.3,0.03
65.70,161.82,71.62,-0.002650,-0.004552,-0.183894,0.982932,100,0.3,0.3,0.3,0.03,0.3,0.03
64.71,161.84,71.55,0.000920,-0.003875,-0.183503,0.983011,100,0.3,0.3,0.3,0.03,0.3,0.03
63.72,161.86,71.49,-0.002739,-0.004568,-0.183881,0.982934,100,0.3,0.3,0.3,0.03,0.3,0.03
62.73,161.88,71.42,-0.001894,-0.004418,-0.184195,0.982878,100,0.3,0.3,0.3,0.03,0.3,0.03
