Continuity Violations Report: Traj_2_[1-62]
================================================================================

Commanded Speed: 100.0 mm/s
Number of Poses: 62

C0 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 55: Magnitude=4.4292, Type=large_step, Details=Step norm 253.8° exceeds limit 30.0°

C1 CONTINUITY VIOLATIONS:
--------------------------------------------------------------------------------
  Segment 18: Magnitude=8.0843, Ratio=4.63x limit
  Segment 19: Magnitude=0.7346, Ratio=1.17x limit
  Segment 19: Magnitude=5.7231, Ratio=3.28x limit
  Segment 20: Magnitude=4.3952, Ratio=2.52x limit
  Segment 21: Magnitude=0.5558, Ratio=0.88x limit
  Segment 21: Magnitude=3.0374, Ratio=1.74x limit
  Segment 22: Magnitude=2.9651, Ratio=1.70x limit
  Segment 23: Magnitude=2.6812, Ratio=1.54x limit
  Segment 24: Magnitude=2.0809, Ratio=1.19x limit
  Segment 25: Magnitude=1.8197, Ratio=1.04x limit
  Segment 30: Magnitude=1.6473, Ratio=0.94x limit
  Segment 30: Magnitude=2.8283, Ratio=1.18x limit
  Segment 31: Magnitude=2.8551, Ratio=1.64x limit
  Segment 31: Magnitude=4.0051, Ratio=1.67x limit
  Segment 32: Magnitude=3.0344, Ratio=1.74x limit
  Segment 32: Magnitude=4.8748, Ratio=2.03x limit
  Segment 33: Magnitude=0.9607, Ratio=1.08x limit
  Segment 33: Magnitude=4.6758, Ratio=2.68x limit
  Segment 33: Magnitude=6.2809, Ratio=2.62x limit
  Segment 34: Magnitude=1.0239, Ratio=1.15x limit
  Segment 34: Magnitude=5.1998, Ratio=2.98x limit
  Segment 34: Magnitude=7.2846, Ratio=3.04x limit
  Segment 35: Magnitude=1.0165, Ratio=1.14x limit
  Segment 35: Magnitude=5.4174, Ratio=3.10x limit
  Segment 35: Magnitude=7.8097, Ratio=3.26x limit
  Segment 36: Magnitude=1.0269, Ratio=1.15x limit
  Segment 36: Magnitude=5.7006, Ratio=3.27x limit
  Segment 36: Magnitude=1.2858, Ratio=0.89x limit
  Segment 36: Magnitude=8.1811, Ratio=3.41x limit
  Segment 37: Magnitude=0.9820, Ratio=1.10x limit
  Segment 37: Magnitude=5.4691, Ratio=3.13x limit
  Segment 37: Magnitude=1.6860, Ratio=1.16x limit
  Segment 37: Magnitude=7.8133, Ratio=3.26x limit
  Segment 38: Magnitude=0.8703, Ratio=0.98x limit
  Segment 38: Magnitude=4.7110, Ratio=2.70x limit
  Segment 38: Magnitude=1.3053, Ratio=0.90x limit
  Segment 38: Magnitude=7.2636, Ratio=3.03x limit
  Segment 39: Magnitude=0.7826, Ratio=0.88x limit
  Segment 39: Magnitude=3.9007, Ratio=2.23x limit
  Segment 39: Magnitude=6.4896, Ratio=2.71x limit
  Segment 40: Magnitude=3.0939, Ratio=1.77x limit
  Segment 40: Magnitude=5.6778, Ratio=2.37x limit
  Segment 41: Magnitude=2.7158, Ratio=1.56x limit
  Segment 41: Magnitude=5.4434, Ratio=2.27x limit
  Segment 42: Magnitude=2.6943, Ratio=1.54x limit
  Segment 42: Magnitude=5.2393, Ratio=2.18x limit
