x,y,z,qw,qx,qy,qz
-0.4225249708284979,-0.9065143779167552,0.4500780921813125,-0.11637988773431,0.703237271240362,-0.691020334304114,0.12001424219244199
-0.4224925395253832,-0.9085740598643681,0.45009416965797056,-0.11614762353899401,0.7007755589887421,-0.693743757219648,0.118919904074476
-0.4224603751943377,-0.9106340582311608,0.4500702492771257,-0.116250515802894,0.70229595662725,-0.692078506317358,0.11955163363210598
-0.4224280773772576,-0.9126938983883636,0.4500663278250323,-0.11617021208808402,0.7041790841450221,-0.690076250831888,0.120124271744942
-0.4223955125881082,-0.9147534221263867,0.45010240423044173,-0.116015720447478,0.701725509707916,-0.692771976805438,0.119110506991668
-0.4223632147710281,-0.9168132622835894,0.4500984827783483,-0.11614250155997399,0.7033632216066381,-0.6909663076639759,0.11981110855458799
-0.42233078346791336,-0.9188729442312024,0.45011456025500635,-0.116432894605336,0.70068000211629,-0.693747271565916,0.11918105295614198
-0.42229861913686795,-0.9209329425979951,0.4500906398741615,-0.116105472220306,0.704834441329372,-0.689388560370704,0.12028746268495201
-0.4222659876047012,-0.9229923872312232,0.4501367157439466,-0.116785511252846,0.7015683258300961,-0.69267317949982,0.11985345709005799
-0.4222337565306384,-0.9250523064932209,0.45012279482747747,-0.11609729173994801,0.7035567675628239,-0.6907736279103699,0.11983126900583399
-0.42220125848450635,-0.9271119093360389,0.4501488717685112,-0.11742253929914402,0.7008285277160621,-0.6932452696056359,0.12025555159007999
-0.4221690941534609,-0.9291719077028316,0.45012495138766634,-0.116550199335734,0.705118013206426,-0.688925262810354,0.12085255918986199
-0.42213639587827684,-0.9312312732312649,0.4501810267218272,-0.116235133738288,0.7030098450303301,-0.691316001044726,0.119783952177414
-0.4221039645751621,-0.9332909551788777,0.4501971041984852,-0.11646213060948402,0.7033001234910041,-0.690922819285206,0.12012119303399399
-0.42207153327204733,-0.9353506371264906,0.4502131816751432,-0.11645016663781602,0.7022077306659981,-0.692103926444266,0.11972866027913401
-0.4220391687119499,-0.9374103981788985,0.4502192596874255,-0.11638829213512401,0.704604804411224,-0.6895382654721219,0.12050227863659198
-0.42200653717978315,-0.9394698428121266,0.4502653355572106,-0.11674814554466001,0.701761215912522,-0.6924797938664718,0.11988133384278199
-0.4219743061057204,-0.9415297620741244,0.4502514146407415,-0.116621029248584,0.703471458420702,-0.6906828132568599,0.12034753668986
-0.4219418080595883,-0.9435893649169423,0.45027749158177516,-0.116468718779244,0.70103400421107,-0.6933564742357581,0.11933997803881799
-0.42190964372854284,-0.9456493632837351,0.45025357120093035,-0.11649684730156802,0.7060380598053182,-0.687944480198362,0.12112180953203801
-0.42187681196732413,-0.9477085706025783,0.45032964546384263,-0.11673417757394601,0.7018840038005801,-0.6923520906496899,0.119910228048058
-0.42184451415024404,-0.9497684107597811,0.45032572401174925,-0.116129454334624,0.704437226122654,-0.689810841346996,0.12017217936709798
-0.4218119493610946,-0.9518279344978042,0.4503618004171586,-0.116084893596612,0.70431276927508,-0.6899612257053059,0.120083026050932
-0.42177938457194525,-0.9538874582358272,0.45039787682256804,-0.11621561020802203,0.70085028783122,-0.693639780874456,0.11901558736419601
-0.4217472202408998,-0.9559474566026199,0.4503739564417232,-0.11656505855630402,0.7045010339205021,-0.689589303023544,0.120649938368634
-0.421714588708733,-0.9580069012358481,0.45042003231150834,-0.11659401028598601,0.7023579339258301,-0.691892417347416,0.11993055558401
-0.42168229089165293,-0.9600667413930508,0.4504161108594149,-0.116141637009524,0.7050262518492721,-0.6891682594905041,0.12039173743411599
-0.42164959261646884,-0.962126106921484,0.45047218619357576,-0.11623330110115601,0.702550004201602,-0.6918102887892401,0.119622694525492
-0.4216172280563714,-0.9641858679738918,0.45047826420585807,-0.11642970376197002,0.7043242015515241,-0.689827926272664,0.120446758303678
-0.42158466326722205,-0.9662453917119148,0.4505143406112675,-0.11713574607048602,0.700594811849962,-0.693594830748298,0.11987740478808001
-0.4215524989361766,-0.9683053900787076,0.45049042023042263,-0.116534724930506,0.7029269980392682,-0.6913009957027441,0.12006608706651199
